genre_ids,id,original_language,overview,poster_path,release_date,title,keyword,movie_out
"[80, 53]",996,en,"A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.",/n8Mfx7JNbj6lo24laFL1sZYEKHs.jpg,1944-07-06,Double Indemnity,"[4617, 9016, 9807, 9826, 11152, 12999, 159531, 163603, 178993, 208508, 237459]",False
"[18, 28]",96721,en,"In the 1970s, a rivalry propels race car drivers Niki Lauda and James Hunt to fame and glory — until a horrible accident threatens to end it all.",/5akKFgS7eeXUw9rKTEujryKrH17.jpg,2013-09-02,Rush,"[830, 6075, 5378, 9672, 175428, 233981]",False
[18],7345,en,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",/fa0RDkAlCec0STeMNAhPaF89q6U.jpg,2007-12-26,There Will Be Blood,"[387, 5175, 380, 818, 592, 1499, 1635, 2355, 5857, 3419, 5905, 5651, 9622, 10594, 10590, 11001, 14765, 15127, 33457, 41500, 160309, 164186, 174916, 188953, 209051, 236170, 240429, 282521, 321051, 321464, 327267]",False
"[10749, 18]",167073,en,"In 1950s Ireland and New York, young Eilis Lacey has to choose between two men and two countries.",/cs7W8j5lI7qzRW6tKSj9p1Q0Ze7.jpg,2015-10-20,Brooklyn,"[3799, 818, 128, 1007, 6038, 5890, 11935, 12390, 14632, 14985, 41523, 189092, 206160, 208611]",False
"[18, 10752]",600,en,A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg,1987-06-26,Full Metal Jacket,"[10084, 1589, 2957, 236, 2956, 720, 549, 818, 2903, 5299, 917, 2999, 11106, 4747, 10075, 10787, 11400, 12425, 14900, 14955, 15240, 18543, 46962, 158780, 161840, 162365, 165431, 226426, 227845, 325854]",False
"[80, 18, 9648, 53]",1592,en,"An arrogant, high-powered attorney takes on the case of a poor altar boy found running away from the scene of the grisly murder of the bishop who has taken him in. The case gets a lot more complex when the accused reveals that there may or may not have been a third person in the room.",/qJf2TzE8nRTFbFMPJNW6c8mI0KU.jpg,1996-03-06,Primal Fear,"[520, 516, 417, 818, 3012, 6148, 6259, 2637, 2887, 5593, 10909, 12570, 15106, 41329, 207240, 207628, 222517, 254459]",False
[18],393457,en,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",/35N1U1qnFLDgWD2gcNgEKHtCBxV.jpg,2016-12-16,Fences,"[1543, 1480, 5905, 10181, 10235, 12425, 193594, 208611, 222807, 240119]",False
"[18, 37]",24748,en,"Hud Bannon is a ruthless young man who tarnishes everything and everyone he touches. Hud represents the perfect embodiment of alienated youth, out for kicks with no regard for the consequences. There is bitter conflict between the callous Hud and his stern and highly principled father, Homer. Hud's nephew Lon admires Hud's cheating ways, though he soon becomes too aware of Hud's reckless amorality to bear him anymore. In the world of the takers and the taken, Hud is a winner. He's a cheat, but, he explains, ""I always say the law was meant to be interpreted in a lenient manner.""",/A168bF52vmAIGkC2Qafj7M2EmaE.jpg,1963-05-28,Hud,"[818, 1019, 1556, 2752, 7464, 15158, 17997, 168713, 221829, 309397]",False
"[80, 18, 9648, 53]",793,en,"Clean-cut Jeffrey Beaumont realizes his hometown is not so normal when he discovers a human ear in a field, the investigation soon catapulting him toward a disturbed nightclub singer and a drug-addicted sadist.",/7hlgzJXLgyECS1mk3LSN3E72l5N.jpg,1986-09-19,Blue Velvet,"[2231, 1415, 459, 703, 2334, 4075, 9887, 9332, 9826, 14964, 33699, 178649, 184870, 207268]",False
"[28, 12, 53]",138103,en,"Barney, Christmas and the rest of the team comes face-to-face with Conrad Stonebanks, who years ago co-founded The Expendables with Barney. Stonebanks subsequently became a ruthless arms trader and someone who Barney was forced to kill… or so he thought. Stonebanks, who eluded death once before, now is making it his mission to end The Expendables -- but Barney has other plans. Barney decides that he has to fight old blood with new blood, and brings in a new era of Expendables team members, recruiting individuals who are younger, faster and more tech-savvy. The latest mission becomes a clash of classic old-school style versus high-tech expertise in the Expendables’ most personal battle yet.",/ruW3malZtlg66ODfg614dFbXO68.jpg,2014-08-07,The Expendables 3,"[591, 3070, 11107, 6163, 9663, 11612, 14643, 157424, 188944]",False
"[12, 28, 53, 10752]",567189,en,An elite Navy SEAL uncovers an international conspiracy while seeking justice for the murder of his pregnant wife.,/6GCOpT8QcNzup09TAMmvvk22LTR.jpg,2021-04-29,Tom Clancy's Without Remorse,[179431],False
"[27, 53]",9378,en,"Arthur and his two children, Kathy and Bobby, inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family, accompanied by Bobby's Nanny and an attorney, enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis, a ghost hunter, and his rival Kalina, a ghost rights activist out to set the ghosts free, the group must do what they can to get out of the house alive.",/6yrrddjIjx0ElCRZp5pTZeqrj3k.jpg,2001-10-26,Thir13en Ghosts,"[641, 3713, 6152, 3358, 10235, 9714, 10594, 9748, 10085, 10911, 10915, 14999, 50009, 156075, 162846, 194998, 325818, 325821]",False
"[53, 27, 18]",546121,en,"Chloe, a teenager who is confined to a wheelchair, is homeschooled by her mother, Diane. Chloe soon becomes suspicious of her mother and begins to suspect that she may be harboring a dark secret.",/ilHG4EayOVoYeKqslspY3pR4wzC.jpg,2020-11-20,Run,"[1415, 6634, 12399, 14768, 164724, 190380, 195593, 233473, 240736]",False
"[28, 35, 80]",238713,en,"A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",/6On9Ed52fz8W1h9PzaDQ12ZfHdn.jpg,2015-05-06,Spy,"[591, 810, 90, 4654, 588, 470, 6163, 6349, 10617, 12551, 18117, 41185, 159560, 179430, 179431, 202296, 266855, 303230, 323521, 323522]",False
"[14, 12]",57165,en,"Perseus tries to live a quieter life as a village fisherman while - dangerously weakened by humanity's lack of devotion - the gods are losing control of the long-imprisoned Titans and their ferocious leader, Kronos.",/b9n2R3xZWQ8MVZgndQoV34stS0h.jpg,2012-03-28,Wrath of the Titans,"[2033, 2035, 2036, 8985, 161170, 161172, 162861, 166457, 185343]",False
